,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
144,Godrej,6,4.3,2765,18840,Fully,Top,720,0
145,Godrej,8,4.6,14,13403,Semi,Top,1400,5
148,Godrej,7,4.3,1682,14490,Fully,Top,720,5
149,ONIDA,6,4.1,2072,8190,Semi,Top,1300,5
153,Lloyd,6,3.9,63,12990,Fully,Top,680,5
154,SAMSUNG,6,4.4,24506,24990,Fully,Front,1000,5
155,LG,11,4.3,107,45990,Fully,Top,700,0
158,IFB,6,4.3,75515,25490,Fully,Top,1000,5
159,IFB,8,4.3,75515,35990,Fully,Front,1200,5
162,TCL,8,0.0,0,26490,Fully,Front,1400,5
163,IFB,6,4.2,75,25990,Fully,Front,1000,5
164,Thomson,6,4.0,8834,7499,Semi,Top,1400,0
165,ONIDA,12,4.2,6340,16390,Semi,Top,1300,5
168,LG,8,4.5,82,37599,Fully,Front,1400,5
169,Singer,10,4.4,40,12690,Semi,Top,1350,5
170,Godrej,8,4.3,1879,11990,Semi,Top,1440,5
171,SAMSUNG,9,4.4,507,15590,Semi,Top,1300,0
172,Godrej,8,4.2,306,15000,Semi,Top,1440,5
173,BOSCH,8,4.5,19,35949,Fully,Front,1200,5
174,Whirlpool,7,4.2,18202,14990,Fully,Top,740,5
175,Panasonic,7,4.1,70,21490,Fully,Top,702,5
176,BOSCH,6,4.3,1217,17990,Fully,Top,680,5
177,Whirlpool,7,4.4,13340,10990,Semi,Top,1400,5
178,Sansui,7,3.7,84,13990,Fully,Top,700,5
179,Whirlpool,7,4.3,618,20300,Fully,Top,740,0
181,SAMSUNG,7,4.1,11,31990,Fully,Front,1200,5
182,Godrej,7,4.3,1879,9990,Semi,Top,1440,5
183,IFB,8,4.0,195,59908,Fully,Top,1400,5
184,Whirlpool,6,4.2,98,14790,Fully,Top,1450,5
185,MarQ,7,4.3,46215,8190,Semi,Top,1350,5
186,realme,11,4.0,82,19990,Fully,Top,700,5
187,SAMSUNG,7,4.4,946,11999,Semi,Top,1300,5
188,SAMSUNG,8,4.4,4231,13990,Semi,Top,1300,5
189,SAMSUNG,6,4.2,72,21000,Fully,Top,700,5
190,Haier,6,4.3,22298,12990,Fully,Top,800,5
191,Godrej,9,4.3,1879,14990,Semi,Top,1400,5
192,BOSCH,7,3.3,0,12490,Semi,Top,1360,0
193,SAMSUNG,10,4.3,52837,30990,Fully,Top,700,5
194,SAMSUNG,8,4.1,161,20100,Fully,Top,700,5
195,SAMSUNG,8,4.2,78,14250,Semi,Top,1300,5
197,Haier,7,4.3,22298,13990,Fully,Top,800,5
198,SAMSUNG,8,4.2,96,20000,Fully,Top,700,5
199,LG,8,4.5,49,38990,Fully,Front,1200,0
200,Haier,8,4.3,22298,17490,Fully,Top,800,5
202,Lloyd,7,4.3,2213,10090,Semi,Top,1300,5
203,SAMSUNG,7,4.4,721,30490,Fully,Front,1200,5
204,MarQ,8,4.2,1334,21490,Fully,Top,700,0
205,Whirlpool,11,4.4,575,16499,Semi,Top,1400,5
206,Haier,8,4.2,1362,11490,Semi,Top,1300,5
208,Voltas,8,4.2,15,11690,Semi,Top,600,5
209,SAMSUNG,8,4.2,78,14699,Semi,Top,1300,5
211,Haier,8,4.2,284,31990,Fully,Front,1200,5
212,White,7,4.2,1085,7999,Semi,Top,1400,5
213,SAMSUNG,7,4.4,103,13000,Semi,Top,1300,5
214,Lloyd,6,4.6,0,25750,Fully,Front,1200,0
215,LG,7,4.4,621,25490,Fully,Top,700,5
218,Siemens,8,4.8,0,37900,Fully,Front,1400,5
219,BOSCH,6,4.4,10144,26490,Fully,Front,800,5
222,Whirlpool,7,4.1,2226,16790,Fully,Top,740,5
223,SAMSUNG,11,4.4,317,18819,Semi,Top,1300,5
224,LG,7,4.4,37,26990,Fully,Top,700,5
225,Godrej,7,4.7,0,19890,Fully,Top,670,5
228,Lloyd,8,0.0,0,37869,Fully,Front,1400,5
229,SAMSUNG,7,4.8,0,14390,Semi,Top,1300,5
232,SAMSUNG,6,4.3,52837,15990,Fully,Top,700,5
233,Siemens,7,4.9,25,28990,Fully,Front,1000,0
234,LG,8,4.4,2218,14620,Fully,Top,1350,5
235,TCL,6,4.0,70,12490,Fully,Top,700,5
238,Whirlpool,6,4.6,42,15759,Fully,Top,740,5
239,IFB,9,4.4,663,39990,Fully,Top,1400,5
243,BOSCH,9,4.4,9047,44900,Fully,Front,1400,5
244,IFB,9,4.3,18243,28990,Fully,Top,720,5
245,CANDY,7,4.4,215,13490,Fully,Top,800,5
248,BOSCH,7,4.3,1217,21490,Fully,Top,680,5
249,BOSCH,9,0.0,0,30549,Fully,Top,720,5
253,IFB,8,4.3,1312,37990,Fully,Front,1400,5
254,SAMSUNG,9,4.4,163,28080,Fully,Top,700,5
258,LG,8,4.4,53,15290,Semi,Top,1350,5
259,Motorola,6,4.1,6376,23990,Fully,Front,1000,5
262,SAMSUNG,8,4.4,3209,32490,Fully,Front,1400,5
263,SAMSUNG,6,4.4,61860,16990,Fully,Top,700,5
265,Voltas,6,0.0,0,21789,Fully,Top,700,5
268,SAMSUNG,8,4.3,19,37990,Fully,Front,1400,5
269,SAMSUNG,7,4.5,0,21100,Fully,Top,700,5
272,SAMSUNG,6,4.4,5455,24890,Fully,Front,1000,5
273,LG,10,4.5,3779,17680,Semi,Top,1300,5
274,SAMSUNG,9,4.3,46,27990,Fully,Top,700,5
275,Whirlpool,6,4.1,47,17490,Fully,Top,740,5
278,SAMSUNG,8,4.3,81,14999,Semi,Top,1300,5
279,TCL,7,4.0,70,12990,Fully,Top,700,5
282,IFB,7,4.3,1164,32600,Fully,Top,1000,5
283,LG,7,4.5,186,31990,Fully,Front,1000,5
284,Voltas,6,4.0,784,22990,Fully,Front,1000,5
285,Siemens,7,4.6,11,28990,Fully,Front,1400,5
288,Whirlpool,8,4.7,34,12295,Semi,Top,1400,0
289,LG,10,4.5,1027,18900,Fully,Top,1300,5
292,SAMSUNG,7,4.6,0,17790,Fully,Top,700,5
293,Kelvinator,7,0.0,0,9850,Semi,Top,1450,5
294,White,7,4.1,598,7490,Semi,Top,1600,5
295,Panasonic,8,4.1,70,25990,Fully,Top,702,5
298,Whirlpool,10,4.2,306,16590,Semi,Top,1400,5
299,SAMSUNG,7,4.4,3648,29990,Fully,Front,1200,5
302,Thomson,10,4.3,115,11490,Semi,Top,1400,0
303,ONIDA,8,4.1,2072,10290,Semi,Top,1450,5
304,Whirlpool,7,4.2,1476,18990,Fully,Top,740,5
305,Sansui,9,4.2,15133,10390,Semi,Top,1350,5
308,IFB,9,0.0,0,38000,Fully,Top,720,5
309,Whirlpool,9,4.1,2018,24499,Fully,Top,740,5
312,Lloyd,7,4.5,204,12793,Semi,Top,600,5
313,Voltas,14,4.2,81,15199,Semi,Top,1350,5
314,LG,10,4.3,40,17690,Semi,Top,1200,5
315,Whirlpool,6,4.4,29454,9090,Semi,Top,1400,5
322,Voltas,7,4.3,4745,9690,Semi,Top,1300,0
323,ONIDA,7,4.3,547,14190,Fully,Top,750,5
324,LG,11,4.3,71,34990,Fully,Top,700,5
325,IFB,7,4.5,35,25233,Fully,Top,720,5
328,BOSCH,9,4.4,9047,44990,Fully,Front,1400,5
332,Godrej,6,4.3,8616,14790,Fully,Top,720,5
333,SAMSUNG,8,4.6,0,24700,Fully,Top,700,5
334,Midea,7,4.2,1606,13990,Fully,Top,680,5
335,SAMSUNG,7,4.4,213,12150,Semi,Top,1300,5
336,SAMSUNG,6,4.2,32,35000,Fully,Front,1200,5
337,Godrej,8,4.5,119,13190,Semi,Top,1440,5
338,Thomson,8,3.9,168,14990,Fully,Top,700,0
339,BOSCH,7,4.3,3104,31990,Fully,Front,1200,5
340,Midea,6,4.0,44,7290,Semi,Top,1350,0
341,SAMSUNG,7,3.3,0,25990,Fully,Top,700,0
342,LG,7,4.5,424,12510,Semi,Top,1350,5
343,Whirlpool,9,4.3,2969,13950,Semi,Top,1400,5
344,Godrej,9,4.3,1879,14790,Semi,Top,1400,5
345,LG,8,0.0,0,19990,Fully,Top,800,5
346,SAMSUNG,7,4.2,165,16390,Fully,Top,680,0
347,SAMSUNG,10,4.4,61860,28100,Fully,Top,700,5
348,Godrej,12,4.1,43,16990,Semi,Top,1440,5
349,SAMSUNG,10,4.3,52837,28100,Fully,Top,700,5
350,Voltas,9,4.1,255,20979,Fully,Top,700,5
351,Godrej,7,4.3,160,20399,Fully,Top,700,0
352,SAMSUNG,8,3.3,0,27100,Fully,Top,700,5
353,Godrej,7,4.1,20,15990,Fully,Top,670,5
354,SAMSUNG,8,4.2,241,51990,Fully,Top,1400,0
355,BOSCH,7,4.3,0,22548,Fully,Top,680,0
356,Whirlpool,7,0.0,0,15369,Fully,Top,740,5
357,SAMSUNG,7,4.4,5455,35500,Fully,Front,1200,5
358,SAMSUNG,8,4.4,5455,36700,Fully,Front,1400,5
359,White,10,4.1,598,11799,Semi,Top,1600,0
372,LG,7,4.6,66,39390,Fully,Front,1200,5
380,Haier,8,4.3,815,12190,Semi,Top,1300,5
383,IFB,6,4.3,18243,16990,Fully,Top,720,5
384,Voltas,7,4.1,24,11619,Semi,Top,1300,5
385,LG,6,4.4,2975,20690,Fully,Top,700,5
388,SAMSUNG,8,4.1,161,26000,Fully,Top,700,5
392,SAMSUNG,8,0.0,0,13549,Semi,Top,1300,5
393,CANDY,7,4.2,807,8890,Semi,Top,1300,5
394,SAMSUNG,7,4.3,0,12799,Semi,Top,1300,5
395,Haier,7,4.2,284,27990,Fully,Front,1200,5
398,Lloyd,9,4.3,2213,14890,Semi,Top,1350,5
399,Voltas,8,4.3,566,11990,Semi,Top,1300,5
402,IFB,6,4.3,24415,19790,Fully,Top,720,5
403,Godrej,7,0.0,0,18629,Fully,Top,0,5
404,LG,10,4.4,304,30999,Fully,Top,700,5
405,Godrej,8,4.3,693,14160,Semi,Top,1440,5
407,Panasonic,6,4.3,10192,13790,Fully,Top,680,5
408,LG,7,4.5,424,12785,Semi,Top,1350,5
409,SAMSUNG,8,4.4,42,43990,Fully,Front,1200,5
412,SAMSUNG,7,4.0,23,17800,Fully,Top,700,5
413,BOSCH,7,0.0,0,35900,Fully,Front,1200,0
414,IFB,6,4.3,106,30590,Fully,Top,1000,5
415,BOSCH,10,4.3,29,56990,Fully,Top,1400,0
418,IFB,7,0.0,0,21590,Fully,Top,720,5
419,Panasonic,8,0.0,0,45990,Fully,Top,1400,0
422,Panasonic,6,4.3,5439,9290,Semi,Top,1350,5
423,Haier,9,4.3,40,16469,Semi,Top,1300,0
425,SAMSUNG,11,4.3,54,38952,Fully,Top,700,5
428,Lloyd,8,4.7,24,13949,Semi,Top,1300,5
429,LG,7,4.4,742,13500,Semi,Top,1300,5
433,Siemens,7,0.0,0,32549,Fully,Front,1200,5
434,BOSCH,10,4.4,30,56990,Fully,Top,1400,0
438,Haier,7,3.9,89,13990,Semi,Top,1300,0
439,Sansui,6,3.7,84,12990,Fully,Top,700,5
442,Voltas,14,4.1,261,14720,Semi,Top,750,5
443,Godrej,7,4.3,1682,15990,Fully,Top,720,5
444,SAMSUNG,9,4.4,721,40800,Fully,Front,1400,5
445,Whirlpool,7,4.3,111,10369,Semi,Top,1400,0
448,LG,6,4.4,153,37990,Fully,Front,1000,0
449,IFB,10,0.0,0,45750,Fully,Front,1400,5
453,Godrej,7,4.7,0,20449,Fully,Top,670,5
454,BOSCH,9,5.0,0,49849,Fully,Front,1400,5
455,Voltas,8,4.3,4745,10290,Semi,Top,1300,0
458,Panasonic,10,4.1,0,18490,Semi,Top,750,5
459,LG,8,4.5,78,38490,Fully,Front,1200,5
462,Panasonic,8,0.0,0,24180,Fully,Top,720,5
463,Whirlpool,6,4.3,26624,16485,Fully,Top,740,5
464,ONIDA,8,4.2,2075,9490,Semi,Top,1450,5
468,SAMSUNG,8,4.4,7846,39090,Fully,Front,1400,5
469,IFB,5,2.6,0,21549,Fully,Front,55,5
472,BOSCH,8,4.4,9047,32990,Fully,Front,1200,5
473,Whirlpool,8,4.2,13531,18990,Fully,Top,740,5
474,LG,11,4.2,13,48990,Fully,Front,1400,5
475,Haier,7,4.2,1362,11690,Semi,Top,1300,5
478,IFB,8,4.4,3124,34590,Fully,Front,1200,5
479,White,6,3.8,74,12499,Fully,Top,700,0
482,IFB,8,4.3,18243,24725,Fully,Top,720,5
483,BOSCH,7,0.0,0,37389,Fully,Front,1200,5
484,SAMSUNG,8,0.0,0,50999,Fully,Front,1400,0
485,Haier,9,4.2,1362,14290,Semi,Top,1300,5
488,BOSCH,7,4.3,3104,28990,Fully,Front,1000,5
489,LG,8,4.5,1196,37890,Fully,Front,1200,5
492,IFB,8,4.4,1780,36990,Fully,Top,1400,5
493,BOSCH,9,4.3,1217,28990,Fully,Top,680,5
494,LG,8,3.6,0,25290,Fully,Top,700,5
495,SAMSUNG,8,4.1,39,15229,Semi,Top,1300,5
498,SAMSUNG,11,4.4,317,18500,Semi,Top,1300,5
499,IFB,5,4.2,687,19990,Fully,Top,0,5
502,Panasonic,10,4.5,0,28450,Fully,Top,800,5
503,Whirlpool,8,0.0,0,35308,Fully,Front,1400,5
504,LG,7,4.1,66,13600,Semi,Top,1300,5
505,Whirlpool,7,4.3,0,12450,Semi,Top,1400,5
508,LG,9,4.0,39,31490,Fully,Top,779,5
509,LG,8,4.4,17242,34990,Fully,Front,1400,5
512,realme,11,4.0,318,19190,Fully,Top,700,5
513,IFB,7,4.2,165,29990,Fully,Front,1000,5
514,BOSCH,7,4.3,1217,18490,Fully,Top,680,5
515,Whirlpool,7,4.1,2018,20790,Fully,Top,740,5
518,Lloyd,7,4.5,37,11895,Semi,Top,600,0
519,IFB,8,4.4,340,33990,Fully,Front,1200,5
522,BOSCH,8,0.0,0,24990,Fully,Top,680,0
523,Whirlpool,7,4.3,1010,20370,Fully,Top,740,5
524,Thomson,7,4.0,309,8999,Semi,Top,1600,5
525,TCL,7,0.0,0,23990,Fully,Front,1400,5
529,MOTOROLA,8,3.5,39,24990,Fully,Top,1000,0
533,IFB,7,4.7,14,34690,Fully,Front,1200,5
534,Voltas,7,4.3,1441,9249,Semi,Top,1350,5
535,Acer,7,4.1,1111,13999,Fully,Top,700,5
538,BOSCH,8,3.3,0,13490,Semi,Top,1360,0
539,SAMSUNG,7,4.3,52837,22980,Fully,Top,700,5
542,IFB,8,4.1,24,28890,Fully,Top,720,5
543,Voltas,8,4.8,0,13299,Semi,Top,1300,5
544,Lloyd,8,4.5,29,13489,Semi,Top,600,5
545,Voltas,7,4.3,1441,9690,Semi,Top,1350,5
548,SAMSUNG,11,4.4,317,18499,Semi,Top,1300,5
549,Panasonic,12,4.6,16,18890,Semi,Top,750,5
552,Whirlpool,6,4.3,26623,14150,Fully,Top,740,5
553,BOSCH,7,4.4,17,31990,Fully,Front,1200,0
554,Panasonic,7,0.0,0,26910,Fully,Top,702,5
555,Lloyd,9,3.3,0,16649,Semi,Top,1300,5
558,SAMSUNG,7,4.6,0,19999,Fully,Top,700,5
559,SAMSUNG,10,4.8,0,37000,Fully,Top,700,5
562,SAMSUNG,7,4.4,420,11999,Semi,Top,1300,5
563,Acer,8,4.1,1111,16999,Fully,Top,700,5
568,Godrej,7,4.1,60,19000,Fully,Top,670,5
569,Lloyd,9,4.3,49,14817,Semi,Top,600,5
572,LG,7,4.6,66,37490,Fully,Front,1200,5
573,BOSCH,6,4.4,9047,32500,Fully,Front,1000,5
574,Thomson,7,4.0,4563,7790,Semi,Top,1400,0
575,BOSCH,6,4.4,9047,26990,Fully,Front,1000,5
578,Thomson,7,4.0,8834,8090,Semi,Top,1400,0
579,Haier,7,4.5,22,22999,Fully,Top,0,0
582,Haier,7,4.5,22,24490,Fully,Top,800,5
583,Thomson,7,4.0,2269,8990,Semi,Top,1400,5
584,IFB,6,4.2,165,29390,Fully,Top,1000,5
585,Galanz,7,4.0,1962,23990,Fully,Front,1200,0
588,Godrej,7,4.3,1682,16390,Fully,Top,670,5
589,LG,7,4.3,816,20749,Fully,Top,700,5
593,IFB,9,4.4,20,31147,Fully,Top,720,4
594,Whirlpool,7,4.1,157,14990,Fully,Top,740,5
595,VG,8,0.0,0,9790,Semi,Top,1300,3
598,White,12,4.1,598,13299,Semi,Top,1600,0
599,Panasonic,8,4.2,0,14895,Semi,Top,1350,0
603,BOSCH,7,5.0,0,22850,Fully,Top,680,0
604,Whirlpool,7,4.2,18202,19700,Fully,Top,740,5
609,LG,7,4.3,85,35490,Fully,Front,1200,5
623,Voltas,7,4.3,2902,9190,Semi,Top,1350,5
624,Voltas,7,4.0,305,8999,Semi,Top,1350,5
625,Panasonic,7,4.3,10193,15190,Fully,Top,700,5
628,Voltas,7,4.2,1319,5730,Fully,Top,780,0
629,Haier,6,4.7,0,20290,Fully,Top,800,5
632,SAMSUNG,7,0.0,0,23990,Fully,Top,700,5
633,Equator,2,0.0,0,16990,Automatic,Top,53,0
634,Lloyd,8,0.0,0,49990,Fully,Front,1400,3
635,LG,7,4.2,33,21990,Fully,Top,780,5
638,Voltas,8,4.0,68,11999,Semi,Top,1450,5
639,Voltas,6,4.1,165,12990,Fully,Top,700,5
642,ONIDA,6,4.3,547,14290,Fully,Top,700,0
644,LG,9,4.3,85,39990,Fully,Front,1400,5
645,Godrej,7,4.2,1274,20099,Fully,Top,670,5
652,Whirlpool,7,4.1,145,26990,Fully,Top,1000,5
653,LG,7,4.3,23,14487,Semi,Top,1300,5
654,Electrolux,8,3.0,0,47990,Fully,Top,1200,5
655,LG,10,4.4,36,38940,Fully,Top,700,5
659,Feltron,7,0.0,0,11990,Semi,Top,1500,5
662,Equator,6,2.5,0,21990,Fully,Top,53,0
663,MOTOROLA,7,4.1,647,20990,Fully,Front,1400,5
664,Panasonic,11,0.0,0,31490,Fully,Top,702,5
665,BOSCH,8,4.4,10144,37247,Fully,Front,1200,5
669,Godrej,8,4.5,11,16949,Semi,Top,1400,5
672,Whirlpool,6,4.2,18175,14190,Fully,Top,740,5
673,White,8,3.7,19,10299,Semi,Top,1600,5
674,BOSCH,8,0.0,0,39989,Fully,Front,1400,0
675,TOSHIBA,8,0.0,0,41990,Fully,Front,1400,5
678,Whirlpool,7,4.2,165,16370,Fully,Top,740,5
679,White,7,0.0,0,10999,Fully,Top,840,5
682,LG,9,0.0,0,66990,Fully,Top,1400,5
683,Voltas,6,3.9,152,17830,Fully,Top,740,5
684,Haier,11,4.3,815,16990,Semi,Top,1300,5
685,Haier,6,4.4,0,15999,Fully,Top,800,0
689,Equator,9,0.0,0,46791,Fully,Front,1400,0
692,Whirlpool,6,4.2,1476,18490,Fully,Top,740,5
693,BOSCH,6,2.6,0,41661,Fully,Front,1200,5
694,Panasonic,6,0.0,0,14190,Fully,Top,700,5
695,BOSCH,7,4.5,11,32690,Fully,Front,1200,0
696,Voltas,9,4.0,50,12299,Semi,Top,600,5
697,SAMSUNG,9,4.2,134,17990,Semi,Top,1300,0
698,Lloyd,10,0.0,0,29990,Fully,Top,680,0
699,Lloyd,7,4.4,0,13490,Semi,Top,600,5
700,BOSCH,6,0.0,0,44690,Fully,Front,1200,0
701,Godrej,7,4.3,160,20990,Fully,Top,700,0
702,Godrej,6,3.8,52,16490,Fully,Top,670,5
703,SAMSUNG,7,0.0,0,33490,Fully,Front,1200,5
704,LG,7,4.5,2922,29990,Fully,Front,1200,5
705,Siemens,8,4.2,13,38990,Fully,Front,1400,5
706,Panasonic,8,0.0,0,34990,Fully,Front,1400,5
708,Lloyd,8,0.0,0,13990,Semi,Top,1300,5
709,Godrej,6,4.3,160,18990,Fully,Top,700,0
710,SAMSUNG,7,4.5,38,25990,Fully,Top,700,0
711,SAMSUNG,8,4.4,721,38600,Fully,Front,1400,5
712,Voltas,8,3.1,0,10990,Semi,Top,1350,0
713,SAMSUNG,7,0.0,0,39999,Fully,Front,1200,5
714,Haier,7,4.8,0,18490,Fully,Top,800,0
715,IFB,7,4.2,11,31590,Fully,Top,1000,5
716,IFB,6,4.4,3087,32790,Fully,Top,1000,5
718,Lloyd,8,3.9,63,18990,Fully,Top,680,5
719,SAMSUNG,6,4.5,18,33500,Fully,Front,1000,5
722,Godrej,6,4.3,160,19990,Fully,Top,700,0
723,SAMSUNG,8,0.0,0,38799,Fully,Front,1400,5
724,ONIDA,9,3.7,0,14299,Semi,Top,1350,0
725,BOSCH,10,4.4,9047,56100,Fully,Front,1400,5
728,SAMSUNG,6,4.3,320,22200,Fully,Top,680,0
733,SAMSUNG,7,4.3,14870,21740,Fully,Top,700,5
734,LG,6,4.5,2649,34490,Fully,Front,1200,5
735,BOSCH,7,4.6,0,31490,Fully,Front,1000,5
738,ONIDA,8,4.3,0,15990,Semi,Top,1350,0
739,Siemens,7,0.0,0,52790,Fully,Top,45,5
742,Thomson,7,4.0,489,13990,Fully,Top,720,0
743,Godrej,6,4.2,160,21490,Fully,Front,1000,5
744,Godrej,6,0.0,0,15900,Fully,Top,1000,5
746,Lloyd,7,4.2,371,19457,Fully,Top,680,5
747,IFB,6,4.1,30,27990,Fully,Top,1000,5
748,Panasonic,7,0.0,0,13229,Semi,Top,1450,5
749,IFB,8,4.4,95,42490,Fully,Top,1400,5
750,IFB,7,4.2,205,34190,Fully,Front,1000,5
751,Panasonic,8,0.0,0,30800,Fully,Top,702,5
752,Panasonic,8,4.0,0,25490,Fully,Top,700,0
753,BOSCH,7,0.0,0,34500,Fully,Front,1000,3
