,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
172,Godrej,8,4.2,306,"₹15,000",Semi,Top,1440,5
173,BOSCH,8,4.5,19,"₹35,949",Fully,Front,1200,5
174,Whirlpool,7,4.2,"18,202","₹14,990",Fully,Top,740,5
175,Panasonic,7,4.1,70,"₹21,490",Fully,Top,702,5
176,BOSCH,6,4.3,"1,217","₹17,990",Fully,Top,680,5
177,Whirlpool,7,4.4,"13,340","₹10,990",Semi,,1400,5
178,Sansui,7,3.7,84,"₹13,990",Fully,Top,700,5
179,Whirlpool,7,4.3,618,"₹20,300",Fully,Top,740,
180,ONIDA,6,4.1,"2,072","₹8,190",Semi,Top,1300,5
181,SAMSUNG,7,4.1,11,"₹31,990",Fully,Front,1200,5
182,Godrej,7,4.3,"1,879","₹9,990",Semi,Top,1440,5
183,IFB,8,4,195,"₹59,908",,,1400,5
184,Whirlpool,6,4.2,98,"₹14,790",Fully,Top,1450,5
185,MarQ,7,4.3,"46,215","₹8,190",Semi,Top,1350,5
186,realme,11,4,82,"₹19,990",Fully,Top,700,5
187,SAMSUNG,7,4.4,946,"₹11,999",Semi,Top,1300,5
188,SAMSUNG,8,4.4,"4,231","₹13,990",Semi,Top,1300,5
189,SAMSUNG,6,4.2,72,"₹21,000",Fully,Top,700,5
190,Haier,6,4.3,"22,298","₹12,990",Fully,Top,800,5
191,Godrej,9,4.3,"1,879","₹14,990",Semi,Top,1400,5
192,BOSCH,7,3.3,,"₹12,490",Semi,Top,1360,
193,SAMSUNG,10,4.3,"52,837","₹30,990",Fully,Top,700,5
194,SAMSUNG,8,4.1,161,"₹20,100",Fully,Top,700,5
195,SAMSUNG,8,4.2,78,"₹14,250",Semi,Top,1300,5
196,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
197,Haier,7,4.3,"22,298","₹13,990",Fully,Top,800,5
198,SAMSUNG,8,4.2,96,"₹20,000",Fully,Top,700,5
199,LG,8,4.5,49,"₹38,990",Fully,Front,1200,
200,Haier,8,4.3,"22,298","₹17,490",Fully,Top,800,5
201,Haier,8,4.2,284,"₹29,990",Fully,Front,1200,5
202,Lloyd,7,4.3,"2,213","₹10,090",Semi,Top,1300,5
203,SAMSUNG,7,4.4,721,"₹30,490",Fully,Front,1200,5
204,MarQ,8,4.2,"1,334","₹21,490",Fully,Top,700,
205,Whirlpool,11,4.4,575,"₹16,499",Semi,Top,1400,5
206,Haier,8,4.2,"1,362","₹11,490",Semi,Top,1300,5
207,Haier,10,4.6,36,"₹14,990",Semi,Top,1300,
208,Voltas,8,4.2,15,"₹11,690",Semi,Top,600,5
209,SAMSUNG,8,4.2,78,"₹14,699",Semi,Top,1300,5
210,MarQ,6,4.3,"46,215","₹6,990",Semi,Top,1350,5
211,Haier,8,4.2,284,"₹31,990",Fully,Front,1200,5
212,White,7,4.2,"1,085","₹7,999",Semi,Top,1400,5
213,SAMSUNG,7,4.4,103,"₹13,000",Semi,Top,1300,5
214,Lloyd,6,4.6,,"₹25,750",Fully,Front,1200,
215,LG,7,4.4,621,"₹25,490",Fully,Top,700,5
216,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
217,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
218,Siemens,8,4.8,,"₹37,900",Fully,Front,1400,5
219,BOSCH,6,4.4,"10,144","₹26,490",Fully,Front,800,5
220,MarQ,6,4.3,"46,215","₹6,990",Semi,Top,1350,5
221,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
222,Whirlpool,7,4.1,"2,226","₹16,790",Fully,Top,740,5
223,SAMSUNG,11,4.4,317,"₹18,819",Semi,Top,1300,5
224,LG,7,4.4,37,"₹26,990",Fully,Top,700,5
225,Godrej,7,4.7,,"₹19,890",Fully,Top,670,5
226,MOTOROLA,7,4.1,"2,015","₹19,990",,,1000,5
227,MOTOROLA,10,4.2,457,"₹10,990",Semi,Top,1350,5
228,Lloyd,8,,,"₹37,869",Fully,Front,1400,5
229,SAMSUNG,7,4.8,,"₹14,390",Semi,Top,1300,5
230,Thomson,7,4,"8,834","₹7,590",Semi,Top,1400,5
231,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
232,SAMSUNG,6,4.3,"52,837","₹15,990",Fully,Top,700,5
233,Siemens,7,4.9,25,"₹28,990",Fully,Front,1000,
234,LG,8,4.4,"2,218","₹14,620",,,1350,5
235,TCL,6,4,70,"₹12,490",Fully,Top,700,5
236,realme,8,4.2,"51,785","₹9,890",Semi,Top,1400,5
237,Thomson,10,4,"8,834","₹9,799",Semi,Top,1600,
238,Whirlpool,6,4.6,42,"₹15,759",Fully,Top,740,5
239,IFB,9,4.4,663,"₹39,990",,,1400,5
240,Thomson,7,4,"8,785","₹7,690",Semi,Top,1600,5
241,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
242,Haier,8,4.2,"1,362","₹11,490",Semi,Top,1300,5
243,BOSCH,9,4.4,"9,047","₹44,900",Fully,Front,1400,5
244,IFB,9,4.3,"18,243","₹28,990",Fully,,720,5
245,CANDY,7,4.4,215,"₹13,490",Fully,Top,800,5
246,Thomson,9,4,"1,078","₹13,990",Fully,Top,900,5
247,realme,7,4.2,"51,609","₹7,890",Semi,Top,1400,5
248,BOSCH,7,4.3,"1,217","₹21,490",Fully,Top,680,5
249,BOSCH,9,,,"₹30,549",Fully,Top,720,5
250,Thomson,7,4,"8,785","₹7,590",Semi,Top,1400,5
251,BOSCH,8,4.4,"8,786","₹35,900",Fully,Front,1400,5
252,Siemens,7,4.9,25,"₹28,990",Fully,Front,1000,
253,IFB,8,4.3,"1,312","₹37,990",Fully,Front,1400,5
254,SAMSUNG,9,4.4,163,"₹28,080",Fully,Top,700,5
255,Whirlpool,6,4.2,98,"₹14,790",Fully,Top,1450,5
256,realme,8,4.2,"51,609","₹9,890",Semi,Top,1400,5
257,Thomson,10,4,"8,785","₹9,799",Semi,Top,1600,
258,LG,8,4.4,53,"₹15,290",Semi,Top,1350,5
259,Motorola,6,4.1,"6,376","₹23,990",Fully,Front,1000,5
260,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
261,BOSCH,7,4.4,"8,786","₹30,990",Fully,Front,1000,5
262,SAMSUNG,8,4.4,"3,209","₹32,490",Fully,Front,1400,5
263,SAMSUNG,6,4.4,"61,860","₹16,990",Fully,Top,700,5
264,Voltas,8,4.3,"4,745","₹10,990",,,1300,
265,Voltas,6,,,"₹21,789",Fully,Top,700,5
266,Thomson,7,4,"8,785","₹7,690",Semi,Top,1600,5
267,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
268,SAMSUNG,8,4.3,19,"₹37,990",Fully,Front,1400,5
269,SAMSUNG,7,4.5,,"₹21,100",Fully,Top,700,5
270,Thomson,9,4,"1,078","₹13,990",Fully,Top,900,5
271,realme,7,4.2,"51,609","₹7,890",Semi,Top,1400,5
272,SAMSUNG,6,4.4,"5,455","₹24,890",Fully,Front,1000,5
273,LG,10,4.5,"3,779","₹17,680",Semi,Top,1300,5
274,SAMSUNG,9,4.3,46,"₹27,990",Fully,,700,5
275,Whirlpool,6,4.1,47,"₹17,490",Fully,Top,740,5
276,Thomson,7,4,"8,785","₹7,590",Semi,Top,1400,5
277,BOSCH,8,4.4,"8,786","₹35,900",Fully,Front,1400,5
278,SAMSUNG,8,4.3,81,"₹14,999",Semi,Top,1300,5
279,TCL,7,4,70,"₹12,990",Fully,Top,700,5
280,realme,8,4.2,"51,609","₹9,890",Semi,Top,1400,5
281,Thomson,10,4,"8,785","₹9,799",Semi,Top,1600,
282,IFB,7,4.3,"1,164","₹32,600",Fully,,1000,5
283,LG,7,4.5,186,"₹31,990",Fully,Front,1000,5
284,Voltas,6,4,784,"₹22,990",Fully,Front,1000,5
285,Siemens,7,4.6,11,"₹28,990",Fully,Front,1400,5
286,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
287,BOSCH,7,4.4,"8,786","₹30,990",Fully,Front,1000,5
288,Whirlpool,8,4.7,34,"₹12,295",Semi,Top,1400,
289,LG,10,4.5,"1,027","₹18,900",,,1300,5
290,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
291,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
292,SAMSUNG,7,4.6,,"₹17,790",Fully,Top,700,5
293,Kelvinator,7,,,"₹9,850",Semi,Top,1450,5
294,White,7,4.1,598,"₹7,490",Semi,Top,1600,5
295,Panasonic,8,4.1,70,"₹25,990",Fully,Top,702,5
296,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
297,Thomson,7,4,"8,834","₹7,590",Semi,Top,1400,5
298,Whirlpool,10,4.2,306,"₹16,590",Semi,Top,1400,5
299,SAMSUNG,7,4.4,"3,648","₹29,990",Fully,Front,1200,5
300,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
301,realme,8,4.2,"51,785","₹9,890",Semi,Top,1400,5
302,Thomson,10,4.3,115,"₹11,490",Semi,Top,1400,
303,ONIDA,8,4.1,"2,072","₹10,290",Semi,Top,1450,5
304,Whirlpool,7,4.2,"1,476","₹18,990",Fully,Top,740,5
305,Sansui,9,4.2,"15,133","₹10,390",Semi,Top,1350,5
306,Thomson,10,4,"8,834","₹9,799",Semi,Top,1600,
307,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
308,IFB,9,,,"₹38,000",Fully,Top,720,5
309,Whirlpool,9,4.1,"2,018","₹24,499",Fully,Top,740,5
310,BOSCH,7,4.4,"8,795","₹30,990",Fully,Front,1000,5
311,Panasonic,6,4.3,"10,193","₹13,790",Fully,Top,680,5
